#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm9 14A 2 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
500 32.45 54.14 121.28 0.87 227.20
501 32.66 77.53 72.58 1.45 164.10
502 32.57 40.42 112.23 0.24 210.77
503 32.80 17.64 98.52 0.85 144.90
504 32.68 49.15 118.51 0.00 218.51
505 32.72 68.96 96.22 0.10 191.89
506 32.78 22.48 109.04 0.00 162.92
507 32.69 71.64 76.65 0.90 188.55
508 32.88 66.55 84.91 0.06 198.14
509 32.81 60.06 99.57 3.88 215.82
510 32.98 80.49 70.09 0.40 152.13
511 32.90 74.80 77.25 0.50 172.86
512 33.27 56.04 96.26 0.00 218.96
513 33.36 30.50 116.47 0.00 193.97
514 33.27 38.76 108.46 0.00 212.05
515 33.27 64.16 84.61 0.00 200.61
516 33.32 25.27 114.46 0.00 169.97
517 33.32 43.87 99.95 0.00 221.21
518 33.41 33.15 116.16 0.00 202.34
519 33.36 50.92 115.18 2.22 215.48
520 33.49 53.48 99.02 0.00 216.40
521 33.61 12.77 80.79 2.37 126.57
522 33.58 28.02 121.70 0.00 179.40
523 33.63 45.81 105.69 3.30 214.43
524 33.53 58.45 91.57 0.35 215.24
525 33.67 36.42 101.07 2.04 201.88
526 33.58 86.33 64.97 3.23 119.32
527 33.67 9.19 73.08 3.54 104.75
528 33.64 61.78 83.01 1.45 211.71
529 33.71 83.28 64.11 3.06 132.83
530 33.93 15.65 84.60 2.05 132.99
531 33.88 41.85 94.63 2.12 215.45
532 33.83 73.18 84.05 2.03 186.37
533 33.91 48.00 91.03 0.00 211.81
534 33.90 70.67 74.51 0.85 181.48
535 34.01 18.95 85.37 0.00 145.09
536 33.94 21.86 93.21 0.00 151.72
537 33.91 68.11 77.07 0.00 195.96
538 33.90 76.55 63.95 3.00 157.14
539 34.26 89.21 70.62 1.92 98.72
540 34.24 66.00 80.17 0.20 197.04
541 34.17 80.00 58.57 0.00 145.40
542 34.30 39.52 91.80 0.00 205.84
543 34.43 60.21 87.76 0.00 215.69
544 34.47 57.22 87.41 1.61 212.25
545 34.48 50.04 92.04 0.00 210.84
546 34.45 63.43 79.69 2.50 200.78
547 34.61 26.92 100.14 1.00 187.42
548 34.53 33.37 98.95 0.00 199.99
549 34.55 52.38 86.79 1.65 215.55
550 34.56 54.85 92.06 0.00 215.29
551 34.72 24.09 83.49 0.00 152.97
552 34.56 30.91 88.50 0.26 190.03
553 34.73 85.56 72.37 3.31 118.29
554 34.74 10.93 66.76 2.28 116.38
555 34.78 35.63 89.67 0.87 201.94
556 34.84 43.71 88.92 1.73 217.10
557 34.81 74.52 67.35 0.00 171.08
558 34.91 46.26 84.74 0.04 210.10
559 34.94 77.92 79.38 3.57 186.69
560 34.95 82.02 60.38 3.43 141.55
561 34.95 69.30 78.33 1.16 186.82
562 35.18 14.02 68.68 1.27 126.74
563 35.14 71.74 78.47 1.45 171.14
564 35.23 38.25 87.44 1.25 205.36
565 35.24 17.37 73.95 0.46 139.27
566 35.19 20.70 79.19 0.24 153.65
567 35.21 41.17 87.89 0.42 211.30
568 35.35 28.99 92.69 1.18 180.15
569 35.36 65.32 80.44 1.76 201.05
570 35.45 58.66 81.32 0.47 206.09
571 35.52 6.68 54.58 4.48 87.93
572 35.53 48.98 74.13 0.59 205.82
573 35.53 60.89 73.42 2.94 209.75
574 35.54 63.02 73.74 2.19 204.03
575 35.69 67.29 77.80 1.72 190.65
576 35.63 87.92 72.66 3.80 107.19
577 35.66 56.49 83.72 0.48 209.05
578 35.69 51.60 79.85 2.14 205.82
579 35.74 83.77 71.70 3.95 130.06
580 35.74 54.01 82.43 1.27 212.29
581 35.76 75.95 75.49 2.32 161.03
582 35.79 31.95 87.97 2.35 183.01
583 35.89 9.96 59.07 3.61 110.76
584 35.84 26.24 77.72 1.80 169.03
585 35.89 80.05 64.83 3.43 136.80
586 35.88 34.30 79.00 0.17 191.32
587 36.03 23.39 67.62 0.00 161.75
588 36.00 36.50 74.57 0.21 195.63
589 36.08 73.48 78.43 3.49 175.18
590 36.14 44.55 73.20 0.81 209.71
591 36.15 46.76 78.00 2.47 214.67
592 36.20 42.43 77.68 0.78 211.13
593 36.27 69.12 76.94 1.93 179.43
594 36.35 40.11 64.74 0.14 197.83
595 36.44 14.51 57.43 0.57 120.13
596 36.49 71.25 76.11 2.38 168.10
597 36.54 85.65 64.63 4.64 114.60
598 36.43 20.38 65.05 0.14 143.63
599 36.50 29.87 76.57 0.78 181.94
600 36.59 17.54 64.08 0.18 131.35
601 36.57 77.53 69.49 2.32 143.51
602 36.58 59.79 68.89 1.98 196.38
603 36.68 64.66 74.18 0.46 195.53
604 36.72 62.38 70.83 4.33 199.13
605 36.72 55.39 69.82 0.83 198.01
606 36.84 82.33 64.84 3.56 121.36
607 36.98 11.55 56.39 2.84 119.14
608 36.85 37.95 84.56 1.26 203.31
609 36.80 48.83 72.27 1.59 195.03
610 36.88 50.98 76.63 1.71 200.85
611 36.87 7.32 58.94 4.92 96.86
612 36.93 27.74 67.12 0.00 166.06
