#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
386 27.83 35.31 5.55 20.07 187.22
387 27.82 69.56 142.15 9.16 128.96
388 27.98 15.48 18.83 7.03 122.27
389 27.94 56.29 65.33 25.55 156.68
390 28.16 80.62 75.26 1.85 86.50
391 28.12 31.65 8.41 14.99 181.81
392 28.04 27.19 6.42 11.85 170.16
393 28.07 59.32 118.06 21.24 134.35
394 28.23 38.89 10.99 32.45 185.50
395 28.24 43.78 16.36 37.29 175.25
396 28.44 67.05 189.04 6.07 116.13
397 28.41 46.73 23.08 45.37 177.12
398 28.50 64.28 196.73 5.87 122.45
399 28.65 21.01 28.97 5.98 144.79
400 28.64 49.43 52.66 30.68 178.63
401 28.50 52.04 58.41 27.86 175.23
402 28.56 89.41 29.89 0.00 60.64
403 28.72 33.92 12.93 17.24 179.17
404 28.81 36.50 16.13 30.60 174.91
405 28.80 18.28 42.41 6.35 140.50
406 28.78 23.95 31.79 7.82 152.53
407 28.76 29.28 18.88 22.32 150.20
408 28.93 54.31 152.52 10.74 160.19
409 28.96 75.51 120.56 1.97 100.29
410 28.91 57.01 179.10 6.70 160.99
411 28.95 26.33 27.89 10.98 170.85
412 28.91 40.78 25.20 35.81 181.21
413 28.98 12.85 81.44 0.94 120.48
414 28.94 60.03 198.65 10.50 147.45
415 28.84 87.16 37.08 0.67 82.48
416 29.20 78.16 99.61 0.00 90.62
417 29.18 83.67 43.36 0.00 89.10
418 29.12 45.08 42.75 31.65 188.05
419 29.25 70.35 172.25 1.39 114.25
420 29.29 72.86 141.25 0.74 117.68
421 29.34 62.49 197.18 4.30 122.60
422 29.37 86.19 33.23 1.38 85.88
423 29.37 15.84 82.58 2.06 126.81
424 29.31 31.78 23.19 22.27 177.30
425 29.41 38.48 29.84 23.60 160.82
426 29.44 42.76 45.43 24.75 174.15
427 29.48 65.85 209.04 0.00 119.52
428 29.65 80.59 75.90 1.13 95.95
429 29.68 68.18 188.11 0.80 117.42
430 29.64 47.11 100.56 20.80 190.08
431 29.56 51.55 171.94 9.00 169.72
432 29.72 49.35 146.72 9.69 178.37
433 29.81 22.02 90.36 1.66 149.64
434 29.88 29.97 51.06 10.70 162.61
435 29.98 27.62 67.12 2.34 157.77
436 29.85 58.08 208.50 1.84 151.12
437 29.78 33.94 46.04 19.01 177.25
438 29.93 88.73 24.80 0.13 84.12
439 29.93 19.29 124.72 2.28 138.88
440 29.93 24.91 94.22 0.92 156.16
441 30.00 36.27 63.00 9.55 170.39
442 30.12 55.74 221.27 0.95 145.58
443 30.00 60.43 213.09 1.59 130.82
444 30.17 40.43 80.70 5.92 173.28
445 30.10 53.34 214.67 5.48 150.39
446 30.21 64.13 188.08 0.00 133.73
447 30.29 74.39 93.90 0.00 120.86
448 30.17 44.86 128.68 9.65 180.68
449 30.45 76.96 67.58 0.00 107.93
450 30.52 14.27 114.01 2.62 118.60
451 30.64 85.34 26.71 0.00 85.96
452 30.31 86.59 23.79 0.28 97.05
453 30.64 71.52 115.63 0.00 117.62
454 30.67 82.81 32.02 0.00 92.71
455 30.72 17.05 126.51 0.54 126.20
456 30.70 32.02 122.43 3.88 167.77
457 30.61 38.42 121.82 7.45 157.52
458 30.58 42.56 149.58 4.74 183.74
459 30.70 69.25 138.20 0.00 134.15
460 30.76 79.68 40.51 0.00 102.58
461 30.75 48.18 197.28 1.00 160.06
462 30.83 61.75 176.66 0.84 131.43
463 30.80 66.81 118.14 0.00 137.75
464 30.79 50.99 209.72 3.56 158.83
465 30.76 34.35 146.84 6.94 160.55
