#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw1 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
390 29.11 36.68 33.27 22.63 153.30
391 29.28 62.05 91.19 27.50 185.90
392 29.12 68.58 145.30 20.49 184.57
393 29.17 72.43 185.73 19.85 170.28
394 29.25 52.85 39.64 35.14 186.59
395 29.35 57.59 55.25 33.68 194.78
396 29.25 48.09 34.63 27.79 164.55
397 29.29 84.03 120.80 15.11 138.23
398 29.43 75.11 190.85 19.91 187.48
399 29.44 50.39 40.05 30.91 189.24
400 29.49 80.55 154.54 17.33 169.74
401 29.58 25.87 36.53 21.33 148.18
402 29.71 18.81 51.22 18.13 131.32
403 29.66 31.62 37.13 21.12 149.87
404 29.69 41.44 48.35 27.88 172.77
405 29.64 38.97 41.93 26.67 171.30
406 29.71 15.51 45.96 16.85 115.74
407 29.82 28.84 39.17 21.15 152.58
408 29.82 77.64 163.34 18.07 180.14
409 29.92 21.39 63.88 21.54 151.06
410 29.91 34.75 45.26 23.09 160.20
411 29.93 59.54 93.12 28.31 205.90
412 30.07 44.58 55.66 28.32 185.95
413 30.15 46.95 52.57 26.40 192.11
414 30.00 55.19 70.54 29.47 209.16
415 30.11 65.51 177.68 22.32 209.00
416 30.16 69.03 175.45 21.84 183.95
417 30.36 85.94 86.89 13.97 131.09
418 30.22 71.79 155.23 20.11 166.45
419 30.40 24.19 62.15 19.53 154.47
420 30.35 52.24 75.93 27.62 211.61
421 30.47 62.82 177.70 23.88 197.81
422 30.43 81.86 109.88 14.86 160.48
423 30.54 12.93 81.32 15.42 152.08
424 30.49 49.62 67.22 27.01 199.20
425 30.80 37.67 74.49 23.97 174.09
426 30.53 83.31 98.78 15.02 151.67
427 30.53 75.11 158.82 18.45 200.41
428 30.71 57.19 125.71 27.11 211.67
429 30.83 40.01 81.68 23.31 190.46
430 30.80 42.55 90.68 26.32 194.64
431 30.78 79.08 133.58 17.68 177.09
432 30.88 27.51 77.03 20.81 176.76
433 30.92 30.63 63.35 21.24 178.10
434 30.97 33.01 69.36 21.07 178.34
435 30.83 60.33 168.07 22.17 221.53
436 30.98 18.67 100.31 19.12 147.22
437 31.00 66.73 194.39 20.54 213.07
438 30.95 35.44 75.11 22.11 180.64
439 31.16 15.90 108.37 17.90 149.38
440 31.02 54.47 141.86 23.75 216.77
441 31.16 21.73 118.49 18.71 166.06
442 31.14 45.77 91.40 24.26 208.23
443 31.40 70.88 158.08 19.97 204.12
444 31.45 73.51 133.74 17.58 201.68
445 31.52 10.26 102.07 14.94 109.46
446 31.32 48.32 109.06 24.99 214.01
447 31.51 68.68 176.47 21.34 204.87
448 31.50 64.38 198.87 21.63 222.24
449 31.44 51.65 141.26 24.46 224.83
450 31.67 84.40 71.26 15.64 139.18
451 31.62 24.74 120.34 19.56 181.42
452 31.71 58.56 181.81 24.40 226.39
453 31.69 76.50 102.06 17.27 188.66
454 31.65 61.45 205.53 23.24 223.26
455 31.73 81.73 79.06 17.08 158.86
456 31.54 86.69 52.48 12.79 115.83
457 31.83 43.83 162.80 22.85 215.03
458 31.92 13.35 128.95 18.07 159.71
459 32.00 29.39 130.07 21.44 194.69
460 31.93 41.26 153.05 23.80 214.86
461 32.12 56.46 195.75 24.06 232.62
462 31.98 79.23 79.75 18.74 179.64
463 32.10 87.51 46.42 13.83 105.74
464 32.11 35.08 141.34 22.67 197.85
465 32.14 37.92 155.92 23.31 194.72
466 32.06 53.95 183.81 24.06 235.00
467 32.26 20.74 157.09 19.60 175.25
468 32.25 32.43 143.08 22.03 198.96
469 32.27 49.89 179.71 23.87 229.70
470 32.39 27.01 151.77 20.34 190.58
471 32.36 17.92 143.40 19.11 168.07
472 32.40 66.18 165.76 20.78 222.63
473 32.33 47.31 169.19 24.38 227.45
474 32.46 62.61 195.98 23.07 222.07
475 32.64 71.60 98.01 19.38 203.39
476 32.63 74.31 79.78 19.64 188.59
477 32.76 68.78 117.68 20.76 208.20
478 32.87 23.27 161.27 21.09 185.03
479 32.82 52.00 194.66 24.19 225.64
480 32.83 59.94 185.41 24.78 228.94
481 32.90 89.12 29.78 12.43 72.37
482 32.83 45.17 187.41 22.78 223.72
483 33.04 15.11 126.34 17.05 160.23
484 32.93 40.11 199.64 22.80 220.09
485 32.95 77.55 63.18 17.54 175.76
486 33.16 83.48 52.05 16.22 130.96
487 33.16 42.84 194.53 24.28 215.23
488 33.07 80.80 59.33 18.20 154.78
489 33.18 12.10 108.53 16.04 158.01
490 33.14 30.68 174.29 20.64 205.55
491 33.15 54.69 196.44 24.20 235.64
492 33.23 57.61 184.38 25.20 239.25
493 33.27 86.30 41.44 13.70 113.25
494 33.33 64.01 134.32 21.79 231.43
495 33.44 35.71 187.03 23.31 221.40
496 33.49 25.58 159.70 20.69 193.35
497 33.47 38.05 193.50 23.85 220.94
498 33.35 48.36 195.39 24.88 233.43
499 33.53 33.15 183.39 22.71 221.66
500 33.55 20.66 149.45 19.32 185.38
501 33.71 17.77 134.82 17.80 164.64
502 33.82 28.63 167.66 21.04 197.12
503 33.69 66.29 108.28 19.73 216.76
504 33.70 61.67 128.83 23.57 230.31
505 33.89 50.67 186.83 23.84 229.21
506 33.79 70.12 79.55 19.36 214.45
507 33.80 75.44 56.31 18.77 173.39
508 33.93 72.81 65.78 17.73 192.28
509 33.91 45.99 195.86 24.71 231.33
510 34.10 41.01 207.41 24.49 218.80
511 34.16 52.94 161.50 24.20 235.73
512 34.27 10.90 81.88 16.90 146.82
513 34.12 55.77 158.67 23.83 238.04
514 34.11 79.06 50.11 18.14 140.38
515 34.19 59.24 122.69 25.07 229.52
516 34.36 23.32 135.06 20.46 183.83
517 34.44 88.48 39.36 14.11 79.89
518 34.46 68.04 74.29 20.69 206.02
519 34.43 14.11 96.20 17.35 151.51
520 34.53 43.74 179.86 23.87 227.21
521 34.53 84.66 40.84 16.45 95.31
522 34.50 90.72 28.71 12.41 43.98
523 34.57 31.42 165.92 22.67 216.88
524 34.50 48.70 179.57 23.79 234.08
525 34.37 87.05 39.94 13.24 85.76
526 34.67 81.81 43.86 17.17 114.15
527 34.61 37.49 166.42 23.24 220.04
528 34.57 63.56 86.22 23.86 221.47
529 34.62 34.31 178.80 22.86 209.19
530 34.74 26.76 139.47 21.35 203.52
531 34.77 20.33 115.20 20.77 195.79
532 34.83 16.69 104.46 18.33 177.48
533 34.89 76.54 46.64 18.32 148.98
534 35.01 57.26 95.54 23.16 230.06
535 34.96 61.29 75.35 20.91 220.14
536 35.17 65.31 60.72 20.62 203.25
537 34.98 70.93 52.17 17.97 189.40
538 35.09 39.99 169.84 23.08 229.32
539 35.07 46.07 162.51 25.22 230.88
540 35.16 54.45 112.40 23.68 235.37
541 35.24 73.62 46.18 20.88 160.88
542 35.35 29.43 117.56 21.37 203.82
543 35.37 51.92 120.17 22.51 230.02
544 35.52 42.23 137.69 25.65 229.48
545 35.55 78.82 48.09 16.47 112.13
546 35.58 9.67 44.97 16.42 123.35
547 35.40 12.42 51.96 16.44 142.69
548 35.65 25.16 97.02 19.85 191.14
549 35.69 86.45 61.15 14.73 72.04
550 35.61 35.31 128.49 21.57 208.66
551 35.69 59.81 65.36 21.66 215.64
552 35.55 49.19 130.95 24.33 234.50
553 35.67 18.65 78.14 18.88 167.67
554 35.75 22.37 93.53 20.54 183.50
555 35.69 67.53 53.35 21.45 185.94
556 35.76 89.92 59.10 13.13 43.47
557 35.85 32.37 115.55 22.74 195.53
558 36.04 15.03 60.13 16.97 141.50
559 35.90 38.28 108.61 22.64 220.26
560 35.94 83.93 58.05 17.15 72.70
561 35.99 69.92 52.46 20.81 173.98
562 36.08 62.67 52.84 22.52 198.12
563 36.05 81.27 58.33 17.63 85.86
564 36.20 44.39 102.06 23.69 218.43
565 36.15 46.79 91.82 22.81 223.62
566 36.10 75.76 47.64 18.95 123.41
567 36.26 27.71 92.09 20.88 208.44
568 36.18 57.87 65.07 23.52 210.82
569 36.08 12.53 60.43 16.26 134.19
570 36.23 55.09 68.82 24.42 218.67
571 36.49 40.47 99.55 24.37 221.79
572 36.53 50.61 71.61 24.52 225.82
573 36.50 65.02 50.87 20.53 184.73
574 36.49 72.77 48.23 19.46 125.52
575 36.68 20.16 61.93 20.05 161.82
576 36.78 30.07 78.00 22.12 201.16
577 36.60 36.29 77.82 22.85 209.55
578 36.80 52.75 59.68 24.23 209.25
579 36.86 8.69 32.33 14.87 106.90
580 36.85 17.27 49.89 18.78 146.66
581 36.84 23.69 63.67 21.09 177.08
582 37.06 90.96 83.25 14.27 27.24
583 37.02 48.62 64.12 23.28 208.70
