#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf1 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
455 29.69 40.17 27.06 38.29 156.35
456 29.74 13.92 23.75 21.91 116.99
457 29.81 52.92 34.60 57.89 151.11
458 29.72 57.75 46.67 67.34 162.23
459 29.90 18.19 25.70 26.22 129.58
460 30.00 66.84 192.70 32.15 162.76
461 29.92 88.21 49.48 16.19 74.39
462 29.99 11.05 23.68 23.53 107.32
463 29.89 60.39 64.79 60.13 171.26
464 30.09 64.78 160.24 37.68 171.16
465 30.01 76.68 191.98 26.71 151.03
466 30.20 21.29 26.10 29.22 133.52
467 30.46 29.39 28.49 35.14 159.46
468 30.44 35.00 29.63 41.64 149.01
469 30.31 42.65 30.73 52.89 163.07
470 30.47 26.67 27.16 35.03 153.08
471 30.42 31.96 26.52 34.26 152.24
472 30.44 80.12 175.81 23.85 128.19
473 30.40 48.99 37.54 49.75 176.79
474 30.48 72.68 221.08 27.72 166.04
475 30.54 23.83 25.34 33.63 137.50
476 30.75 16.05 30.96 26.26 118.04
477 30.47 45.04 33.67 56.69 159.95
478 30.60 51.27 41.96 59.02 170.51
479 30.56 83.35 151.96 19.60 122.86
480 30.55 38.65 30.22 44.56 165.15
481 30.53 70.04 217.13 29.08 151.67
482 30.70 58.19 83.64 59.12 182.40
483 30.65 62.67 178.74 37.80 184.40
484 30.74 55.81 54.24 63.66 175.03
485 31.03 13.06 41.55 26.07 121.62
486 31.05 74.94 201.24 27.80 166.01
487 31.09 86.08 74.50 18.26 117.02
488 31.17 67.61 225.72 31.65 173.23
489 31.11 77.65 171.39 23.55 154.89
490 31.15 19.27 35.55 32.74 133.99
491 31.06 53.65 50.88 56.12 178.09
492 31.11 60.36 162.06 40.52 189.35
493 31.12 10.26 43.44 22.00 108.80
494 31.15 41.33 35.62 56.82 161.60
495 31.17 46.86 40.65 59.68 171.58
496 31.28 36.46 37.09 48.16 161.80
497 31.30 65.09 221.57 33.67 174.19
498 31.33 88.61 47.04 16.03 97.70
499 31.53 82.06 110.72 22.86 134.93
500 31.64 22.12 39.43 33.35 142.82
501 31.56 28.00 36.17 45.08 165.28
502 31.52 31.06 35.58 45.80 159.58
503 31.44 49.41 49.00 61.65 182.34
504 31.59 44.01 44.81 61.22 172.48
505 31.62 25.20 37.34 46.07 165.54
506 31.74 34.02 39.61 41.34 155.03
507 31.71 69.85 220.22 29.04 182.13
508 31.75 72.37 199.70 27.12 177.94
509 31.69 39.08 42.06 61.35 172.46
510 31.77 58.30 152.42 40.55 204.41
511 31.82 62.61 222.93 34.23 196.28
512 32.01 79.72 116.50 24.69 158.96
513 31.84 51.76 68.67 50.58 193.14
514 32.01 17.01 67.42 28.76 153.73
515 32.17 56.46 165.43 39.91 201.04
516 32.17 54.17 115.07 44.93 201.64
517 32.35 11.08 106.73 21.49 128.15
518 32.30 77.03 117.68 23.62 174.82
519 32.38 14.12 96.17 24.50 136.62
520 32.21 60.43 218.40 33.53 215.26
521 32.29 74.61 160.74 26.29 178.40
522 32.31 41.63 54.18 60.12 174.11
523 32.27 45.84 67.17 61.88 189.15
524 32.41 8.43 81.91 17.34 96.09
525 32.38 48.18 78.61 56.60 191.89
526 32.40 36.69 51.21 46.77 179.32
527 32.31 67.46 220.26 29.79 167.22
528 32.59 19.47 68.06 28.86 151.88
529 32.53 87.18 45.66 18.20 96.24
530 32.47 64.42 231.39 32.48 195.84
531 32.39 84.35 68.87 19.88 119.32
