#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf8 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
438 33.26 35.47 151.42 11.39 163.98
439 33.57 84.61 58.42 8.99 51.40
440 33.53 72.42 91.92 11.43 152.57
441 33.66 50.88 136.68 11.64 185.20
442 33.64 41.86 145.47 11.87 177.67
443 33.46 18.04 101.03 7.47 121.71
444 33.68 38.00 134.77 10.27 165.03
445 33.66 76.19 77.68 11.11 129.03
446 33.71 59.42 119.02 11.50 178.07
447 33.66 81.71 76.01 10.17 100.10
448 33.79 12.78 88.18 8.21 90.09
449 33.85 22.01 96.65 10.02 134.14
450 33.88 33.11 133.12 10.92 158.85
451 34.00 30.48 127.21 11.26 154.05
452 33.91 53.54 129.96 11.65 184.67
453 34.01 63.78 106.20 12.29 174.87
454 34.01 24.95 112.84 10.31 144.35
455 34.02 68.96 96.20 12.43 157.83
456 34.14 43.99 122.19 12.25 176.72
457 34.21 48.89 129.18 12.67 182.04
458 34.19 46.23 134.77 12.30 188.20
459 34.12 56.36 122.47 12.41 177.50
460 34.14 66.34 103.43 12.66 168.58
461 34.22 7.72 44.82 6.22 35.73
462 34.20 79.05 82.57 11.63 121.04
463 34.34 15.73 89.51 8.94 122.10
464 34.42 27.54 111.64 9.87 147.19
465 34.33 86.34 43.80 8.02 32.97
466 34.48 19.16 86.75 10.11 126.55
467 34.32 35.68 130.10 12.31 171.16
468 34.59 74.18 82.79 12.67 142.99
469 34.67 11.02 73.42 7.48 79.78
470 34.73 40.10 116.57 11.94 171.78
471 34.62 61.36 104.59 11.80 176.49
472 34.77 71.49 79.43 12.27 145.17
473 34.94 52.56 107.18 12.42 180.92
474 34.92 58.29 100.42 12.69 173.42
475 34.99 37.71 112.14 12.82 167.64
476 35.01 81.59 75.38 12.37 97.39
477 35.07 32.08 110.16 12.15 156.91
478 35.09 42.48 110.36 11.43 166.83
479 35.15 22.30 81.85 10.68 134.48
480 35.22 55.05 101.45 13.27 178.29
481 35.34 50.29 108.60 13.30 177.59
482 35.20 64.59 84.86 13.49 168.73
483 35.26 67.07 86.68 14.66 161.69
484 35.27 78.08 79.23 13.35 124.38
485 35.25 24.90 94.20 11.14 138.17
486 35.31 29.45 97.72 11.74 147.62
487 35.30 47.48 114.84 13.47 186.91
488 35.36 84.61 64.13 12.13 60.70
489 35.36 34.63 110.81 12.67 162.09
490 35.36 69.34 79.44 13.60 153.27
491 35.30 87.78 34.34 8.46 16.42
492 35.57 14.61 72.07 9.55 108.70
493 35.47 45.07 103.67 13.18 174.65
494 35.54 8.54 43.28 7.37 45.99
495 35.63 75.47 84.00 14.02 140.42
496 35.66 17.62 76.51 10.75 119.52
497 35.81 60.21 90.70 12.70 178.82
498 35.89 62.71 80.65 14.83 169.57
499 36.08 20.61 74.50 11.18 133.70
500 36.10 12.18 62.64 9.48 90.03
501 36.05 57.12 86.36 14.56 176.33
502 36.10 72.84 83.33 15.17 147.54
503 36.11 38.89 88.96 12.89 164.76
504 36.17 41.37 93.84 13.09 163.86
505 36.18 26.11 85.02 12.52 140.10
506 36.15 36.48 89.36 13.25 162.26
507 36.16 52.32 91.92 14.94 182.87
508 36.36 79.83 84.58 16.97 113.74
509 36.69 88.09 40.40 11.27 21.85
510 36.46 28.42 85.16 13.03 144.78
511 36.31 32.73 94.10 12.44 154.79
512 36.36 48.66 95.51 15.01 177.00
513 36.34 65.44 81.89 15.20 171.45
514 36.47 43.69 93.06 13.88 172.89
515 36.50 70.37 86.28 16.52 156.11
516 36.66 82.35 85.47 17.03 91.51
517 36.56 54.98 83.28 13.80 172.34
518 36.63 85.11 64.12 15.14 55.04
519 36.62 67.87 79.05 14.67 160.46
520 36.63 77.03 89.71 16.78 126.11
521 36.90 23.67 74.82 14.01 145.83
522 36.80 46.34 86.29 14.91 171.67
523 36.78 9.25 38.94 9.12 52.53
524 36.91 58.83 87.89 16.70 182.36
525 36.90 15.49 63.07 11.76 112.28
526 37.05 30.58 80.86 13.59 152.70
527 37.03 18.66 70.19 12.60 125.09
528 37.13 50.43 87.87 15.56 176.63
529 37.09 61.37 84.33 16.44 176.68
530 37.16 34.86 78.78 13.35 160.84
531 37.22 63.69 89.84 16.23 170.77
532 37.28 74.39 96.05 18.45 128.93
533 37.22 39.88 77.34 15.07 165.01
534 37.31 53.23 77.57 15.33 179.67
535 37.50 37.32 79.05 15.61 162.79
536 37.50 12.48 48.78 11.09 89.66
537 37.60 26.53 73.87 14.42 138.99
538 37.57 71.20 89.82 20.94 148.00
539 37.75 42.01 82.26 16.99 171.91
540 37.72 56.90 83.06 17.73 163.28
541 37.65 66.11 87.34 18.73 165.35
542 37.83 32.53 72.41 13.83 151.89
543 37.66 44.58 86.11 14.93 167.46
544 37.82 47.92 81.96 15.05 170.87
545 37.92 7.68 30.21 9.05 38.34
546 37.83 80.13 86.15 21.11 99.39
547 37.91 20.82 69.27 13.75 132.62
548 37.99 68.37 87.26 19.18 149.19
549 37.89 77.30 90.88 21.30 116.54
550 38.00 85.48 71.85 18.17 52.73
551 38.11 16.58 62.54 12.70 118.27
552 38.13 29.01 71.47 14.52 143.03
553 38.10 59.67 95.79 19.00 178.19
554 38.32 82.81 84.95 21.91 75.85
555 38.31 87.97 50.61 15.79 28.06
556 38.26 90.22 27.08 12.07 10.67
557 38.22 51.75 78.80 16.77 168.18
558 38.25 54.64 84.81 17.67 173.70
559 38.57 10.61 44.27 12.48 72.53
560 38.46 61.98 96.26 20.88 163.82
561 38.51 72.75 102.32 21.72 137.95
562 38.45 35.36 69.40 16.81 153.00
563 38.42 39.23 67.51 16.92 159.82
564 38.52 64.27 94.79 20.21 155.88
565 38.67 24.67 64.38 15.90 131.15
566 38.84 49.96 79.39 18.27 162.52
567 38.87 13.92 56.46 12.93 96.85
568 38.84 19.07 62.08 14.57 123.24
569 38.90 75.16 94.85 25.25 127.74
570 38.77 45.00 79.21 16.98 160.39
571 38.81 70.26 94.74 22.75 149.34
572 39.04 58.21 93.75 20.48 170.84
573 39.01 32.98 71.61 18.50 159.02
574 38.95 42.15 77.78 18.85 161.88
575 39.09 47.62 86.46 19.71 168.60
576 39.24 66.15 99.87 25.27 154.50
577 39.22 22.07 62.45 17.99 128.10
578 39.26 27.42 66.29 17.52 137.62
579 39.27 30.34 66.00 18.22 148.34
580 39.27 37.41 66.78 17.79 143.32
581 39.22 56.03 89.55 20.87 164.26
582 39.33 80.26 87.24 27.29 91.24
583 39.31 53.39 86.33 21.14 164.54
584 39.31 77.78 92.42 24.52 103.42
585 39.51 8.41 38.73 11.75 50.15
586 39.48 89.26 33.44 18.28 17.49
587 39.45 60.54 104.73 23.82 167.16
588 39.48 85.32 67.03 22.85 49.28
589 39.58 68.39 94.96 25.40 147.97
590 39.63 16.81 60.64 16.79 112.06
591 39.70 39.62 78.92 20.56 151.82
592 39.76 5.53 27.65 10.32 26.01
593 39.81 35.23 71.52 21.67 154.45
594 39.76 63.25 95.00 25.65 150.88
595 39.84 82.66 81.25 30.45 77.41
596 39.84 73.04 101.79 28.88 129.45
597 40.00 11.69 50.38 15.48 83.84
598 40.02 44.30 85.54 22.51 156.17
599 40.11 25.33 57.71 20.16 129.18
600 40.08 51.66 91.11 23.96 159.49
601 40.16 70.50 100.71 30.15 133.55
602 40.16 41.81 84.30 22.92 157.87
603 40.19 46.65 91.14 21.52 153.80
604 40.14 19.67 60.10 18.03 116.86
605 40.25 49.32 93.07 23.32 153.42
606 40.24 32.33 76.75 21.11 145.12
607 40.42 14.31 57.12 18.41 103.83
608 40.35 75.72 86.96 34.18 113.10
609 40.29 58.44 99.54 27.92 159.96
610 40.37 55.72 100.41 28.12 169.55
611 40.51 22.83 67.07 21.33 127.99
