#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf8 14A 1 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
382 30.20 21.27 58.00 13.08 133.04
383 30.11 38.24 70.08 18.92 178.60
384 30.19 54.36 83.19 18.72 186.66
385 30.26 40.68 75.16 18.34 182.53
386 30.22 43.13 75.33 19.08 190.94
387 30.26 81.00 76.14 14.07 133.90
388 30.27 33.28 64.29 16.90 178.58
389 30.39 75.05 82.60 16.81 156.98
390 30.40 77.90 75.92 15.43 149.16
391 30.36 59.77 92.30 19.30 190.33
392 30.42 13.96 42.89 8.55 70.47
393 30.43 65.98 83.10 17.63 175.06
394 30.46 18.23 51.48 10.60 120.93
395 30.45 26.36 58.67 13.05 145.39
396 30.55 52.28 87.05 18.44 184.48
397 30.56 62.14 88.69 19.14 189.03
398 30.51 23.83 60.11 12.34 149.90
399 30.61 28.81 60.42 14.10 162.72
400 30.88 86.29 38.75 11.99 50.95
401 30.75 48.06 83.41 17.39 185.38
402 30.81 57.82 91.82 19.44 187.94
403 30.81 31.42 69.49 14.76 156.70
404 30.93 72.43 85.89 16.52 169.66
405 30.97 83.50 64.02 15.61 119.68
406 31.03 16.37 57.83 10.23 122.29
407 31.05 68.39 84.96 17.21 172.15
408 31.09 37.17 73.37 17.15 173.98
409 31.17 45.22 77.82 19.04 173.58
410 31.21 50.43 91.26 19.54 179.87
411 31.24 64.06 93.67 18.02 174.84
412 31.21 55.65 94.17 18.43 179.94
413 31.33 34.81 70.68 16.41 160.76
414 31.37 19.84 56.38 11.35 127.35
415 31.34 42.51 76.35 19.46 185.75
416 31.45 39.87 77.58 17.62 173.83
417 31.49 22.50 68.21 12.50 138.32
418 31.68 12.11 38.36 8.95 44.06
419 31.60 77.02 75.98 15.50 147.25
420 31.61 80.64 71.25 15.21 133.95
421 31.62 25.23 68.98 13.56 152.12
422 31.65 60.52 92.64 20.05 180.55
423 31.71 27.70 67.84 13.86 155.28
424 31.66 14.58 57.59 9.88 98.53
425 31.76 53.15 90.65 19.02 178.03
426 31.79 30.07 70.65 14.23 149.31
427 31.91 70.40 82.27 17.21 160.85
428 31.94 32.76 77.81 15.22 152.90
429 31.88 47.57 89.21 19.32 181.46
430 31.93 66.26 85.07 17.89 169.42
431 31.91 74.07 86.63 17.73 170.32
432 32.03 58.04 89.54 19.26 174.84
433 32.18 17.82 59.39 11.74 115.04
434 32.28 84.22 58.71 15.12 96.90
435 32.23 37.61 86.09 19.00 185.89
436 32.35 62.68 86.14 19.04 176.00
437 32.44 45.30 83.35 19.42 180.79
438 32.35 50.95 92.43 18.19 180.28
439 32.34 55.52 94.64 19.24 176.58
440 32.43 87.13 37.08 13.15 46.92
441 32.45 42.79 87.67 18.81 181.98
442 32.54 20.74 72.14 12.24 139.31
443 32.63 35.38 82.93 15.36 162.73
444 32.66 78.89 74.56 17.14 146.07
445 32.68 23.36 71.65 12.83 136.97
446 32.69 40.05 82.57 18.45 164.19
447 32.74 14.68 53.81 10.14 95.62
448 32.78 26.19 68.05 13.53 143.15
449 32.88 48.81 94.22 19.54 188.58
450 32.90 31.16 77.86 15.62 161.09
451 33.05 67.70 76.88 18.79 163.09
452 33.05 76.12 77.78 18.11 147.38
453 33.00 59.80 92.61 20.41 178.16
454 33.06 73.05 84.02 16.70 153.84
455 33.06 82.08 67.97 17.19 146.78
456 33.04 28.59 73.19 15.44 146.10
457 33.16 54.10 98.91 20.51 177.92
458 33.12 65.02 88.78 18.70 176.56
459 33.35 12.44 46.15 8.54 52.85
460 33.15 70.33 80.11 18.04 164.43
461 33.31 33.59 86.87 16.38 164.80
462 33.37 57.18 99.99 18.70 166.82
463 33.44 19.01 62.17 12.44 120.70
464 33.47 51.80 103.76 20.69 177.97
465 33.46 37.64 88.13 17.70 163.46
466 33.59 42.04 91.65 19.73 176.56
467 33.63 47.20 88.56 18.12 177.66
468 33.57 62.19 96.09 20.13 177.72
469 33.64 10.08 37.06 9.10 33.22
470 33.61 16.41 69.70 11.99 124.01
471 33.67 44.75 99.85 19.44 178.64
472 33.67 21.87 69.17 12.83 117.10
473 33.70 85.92 53.22 15.64 70.29
474 33.77 25.09 71.84 13.12 138.37
475 33.89 79.79 71.75 18.22 137.91
476 34.01 49.75 96.49 20.39 175.78
477 34.05 30.22 81.26 15.32 152.58
478 34.21 74.49 78.28 18.37 163.21
479 34.34 35.18 91.48 18.44 164.30
480 34.33 39.65 91.05 18.45 157.57
481 34.28 59.39 93.23 19.45 169.33
482 34.44 28.07 75.54 14.79 146.92
483 34.41 77.15 69.03 17.82 149.60
484 34.36 83.25 74.76 17.70 127.58
485 34.39 32.57 80.29 17.93 156.96
486 34.37 64.51 90.70 20.53 169.50
487 34.48 71.97 77.30 18.81 166.90
488 34.38 53.87 99.92 21.12 176.80
489 34.61 67.02 76.05 20.08 156.83
490 34.44 69.36 86.60 18.78 172.82
491 34.57 14.70 60.05 10.32 97.33
492 34.49 56.56 104.31 20.82 172.69
493 34.62 88.20 32.78 15.61 40.51
494 34.66 17.80 65.35 11.88 119.80
495 34.75 20.70 70.33 13.90 124.69
496 34.71 23.40 76.91 13.99 140.84
497 34.73 37.46 93.10 18.51 163.23
498 34.73 46.55 96.44 19.65 169.57
499 34.89 12.21 59.46 10.20 80.11
