#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
349 29.18 81.40 43.21 10.72 79.49
350 29.36 13.67 47.26 7.83 79.05
351 29.39 44.61 165.24 20.79 185.78
352 29.52 32.80 70.72 17.68 160.29
353 29.45 37.78 90.81 19.78 172.10
354 29.65 54.16 214.82 21.67 159.46
355 29.54 80.20 56.92 13.21 88.31
356 29.70 73.09 100.97 15.89 114.52
357 29.60 42.18 181.92 21.55 176.52
358 29.87 56.67 201.96 20.82 154.86
359 29.80 83.55 36.25 10.77 57.25
360 29.84 46.93 201.48 21.94 193.46
361 29.88 59.58 203.54 19.78 133.13
362 30.04 16.42 80.13 9.44 89.84
363 29.92 50.52 209.24 21.57 179.30
364 29.79 63.34 168.73 20.35 140.79
365 29.99 68.56 131.03 18.12 125.35
366 30.00 75.48 64.47 14.64 111.11
367 30.00 30.63 116.00 18.09 166.14
368 30.00 66.21 137.42 18.23 141.68
369 30.13 23.64 76.36 13.69 129.93
370 30.17 25.97 102.28 16.01 148.05
371 30.11 39.82 179.76 20.14 171.11
372 30.16 70.86 131.10 17.40 130.74
373 30.34 78.09 54.89 13.70 99.11
374 30.31 11.70 92.15 7.35 53.63
375 30.39 36.09 151.33 19.17 176.06
376 30.47 52.55 216.09 23.83 178.34
377 30.42 19.56 107.31 11.96 109.52
378 30.55 28.43 149.40 17.40 149.89
379 30.54 33.98 160.45 19.21 172.29
380 30.61 43.99 197.85 21.55 173.73
381 30.64 61.27 150.85 20.66 153.93
382 30.69 12.82 100.16 8.00 61.21
383 30.86 48.17 204.96 23.68 180.82
384 30.80 80.69 36.75 12.68 84.04
385 30.90 38.02 195.70 20.39 169.62
386 30.77 41.96 210.18 22.49 182.32
387 30.97 46.01 217.14 23.68 181.66
388 30.80 58.09 165.58 21.95 172.50
389 31.00 22.03 144.93 13.55 119.22
390 30.98 31.30 178.40 19.08 166.22
391 30.94 63.56 86.86 20.91 148.72
392 31.05 55.88 146.68 22.70 175.86
393 31.23 14.96 132.74 9.03 82.13
394 30.98 50.32 197.73 23.32 178.27
395 31.09 83.55 32.71 11.95 69.46
396 31.18 65.85 77.06 20.27 159.29
397 31.19 73.17 51.16 16.57 117.30
398 31.29 68.26 65.24 17.91 150.50
399 31.43 53.77 138.89 22.34 187.25
400 31.42 75.82 41.38 15.29 109.76
401 31.35 70.64 60.56 17.47 134.86
402 31.46 40.13 198.97 21.23 169.46
403 31.45 26.70 173.54 17.07 143.06
404 31.63 10.66 112.50 7.82 51.90
405 31.62 18.33 139.66 11.52 99.05
406 31.54 59.57 97.54 22.11 173.40
407 31.69 36.01 192.48 21.67 174.62
