#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca2 14A 5 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.013442 -0.013442 1.318395 1.318395 -22.092651 0.0
Kr  -0.010589 -0.015497 1.254163 1.583474 -37.549193 -0.001642
gt  -0.00502 -0.008278 0.374389 0.544498 -1.536574 0.004326
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
437 29.20 77.15 85.91 0.00 115.52
438 29.20 35.05 76.75 0.00 159.04
439 29.20 48.44 165.94 0.00 198.97
440 29.19 57.19 200.18 0.00 194.17
441 29.22 54.90 186.82 0.00 199.52
442 29.29 31.57 83.49 0.00 167.03
443 29.37 43.64 138.58 0.00 200.27
444 29.43 60.33 209.33 0.00 185.78
445 29.37 66.43 141.97 0.00 169.07
446 29.37 71.93 142.39 0.00 133.08
447 29.66 11.88 118.46 4.48 101.72
448 29.76 20.10 143.01 0.20 129.11
449 29.79 41.44 159.15 0.00 196.44
450 29.66 68.65 136.35 0.06 161.51
451 29.92 14.94 132.92 1.62 119.17
452 29.96 83.05 37.72 2.40 60.79
453 29.90 39.21 153.49 0.00 196.04
454 29.80 62.68 167.82 0.00 187.08
455 29.91 74.31 96.30 0.00 136.17
456 30.09 27.83 163.20 0.97 163.49
457 30.10 64.81 116.76 0.00 183.30
458 30.18 33.25 151.29 0.28 168.62
459 30.03 51.76 181.00 0.00 225.47
460 30.26 22.58 168.41 0.32 146.39
461 30.11 58.57 190.26 0.00 193.41
462 30.12 47.25 205.08 0.00 205.50
463 30.12 55.94 179.36 0.00 214.74
464 30.24 78.09 59.07 0.57 95.69
465 30.17 35.74 139.92 1.55 181.80
466 30.19 53.68 172.51 0.00 213.29
467 30.28 45.11 189.55 0.00 206.60
468 30.34 49.78 194.04 0.00 202.68
469 30.38 24.95 176.88 1.25 170.03
470 30.32 30.50 166.73 0.70 163.10
471 30.52 61.07 142.96 0.29 188.30
472 30.51 71.77 93.73 1.16 152.77
473 30.76 85.29 27.85 4.47 39.17
474 30.80 80.37 45.35 1.09 73.74
475 30.65 43.21 185.72 0.00 196.83
476 30.62 67.01 89.43 0.00 181.19
477 30.76 37.54 197.41 0.00 189.50
478 30.75 69.51 85.65 0.00 156.76
479 30.68 18.37 149.25 0.00 102.89
480 30.89 75.37 65.95 0.00 112.52
481 31.17 87.75 10.84 7.07 19.33
482 30.93 12.60 120.98 3.71 112.20
483 30.95 63.19 100.79 0.00 193.88
484 30.97 39.69 199.61 0.00 193.78
485 31.01 57.19 124.56 0.00 216.75
486 31.09 20.79 168.99 0.80 140.42
487 31.02 48.14 202.54 0.00 209.81
488 31.18 29.03 196.96 2.10 183.18
489 31.24 31.59 184.30 1.30 170.80
490 31.27 41.68 191.08 0.00 211.87
491 31.12 51.95 153.49 0.00 218.12
492 31.16 54.68 139.39 0.36 219.46
493 31.23 26.35 194.31 0.15 170.67
494 31.26 59.42 113.10 1.18 206.90
495 31.34 15.79 125.68 1.73 117.92
496 31.25 35.63 186.85 0.87 185.96
497 31.34 45.53 171.61 0.00 205.72
498 31.42 65.48 63.63 0.00 174.58
499 31.59 33.65 171.60 0.27 176.33
500 31.66 82.62 35.49 3.26 45.44
501 31.56 73.06 58.81 1.27 129.55
502 31.57 23.53 176.93 0.66 167.03
503 31.70 77.55 49.14 1.42 81.83
504 31.70 9.42 82.59 6.69 95.94
505 31.74 49.91 144.64 0.00 207.58
506 31.79 61.41 66.53 0.13 187.75
507 31.74 10.92 82.65 4.27 101.33
508 31.91 18.84 138.55 0.89 141.69
509 31.78 67.97 62.44 0.26 160.23
510 31.86 70.61 57.44 2.64 138.37
511 32.04 37.93 190.40 1.05 200.39
512 32.03 43.34 148.55 0.00 212.75
513 31.94 47.54 145.72 0.00 222.19
514 31.99 53.30 98.98 0.00 218.80
515 32.03 56.04 94.72 0.00 217.23
516 32.18 27.49 183.62 0.00 173.37
517 32.08 40.23 180.08 0.00 198.39
518 32.29 85.20 36.66 5.93 27.97
519 32.16 13.49 101.68 3.22 116.32
520 32.11 63.65 48.04 0.00 169.01
521 32.27 58.22 69.32 0.31 203.46
522 32.44 24.90 157.12 0.49 168.86
523 32.29 29.70 189.36 0.84 186.19
524 32.44 75.01 49.45 1.87 102.10
525 32.28 21.71 135.63 0.25 164.39
526 32.38 79.82 44.52 2.39 54.95
527 32.41 31.72 169.90 0.72 181.47
528 32.32 35.86 180.88 1.03 200.53
529 32.45 45.76 96.27 0.00 223.75
530 32.50 51.49 76.00 0.00 211.09
531 32.64 16.64 102.71 1.44 144.73
532 32.73 60.21 51.72 0.36 188.84
533 32.71 65.48 35.86 2.36 142.44
534 32.75 33.83 162.77 1.47 188.58
535 32.94 72.48 44.17 3.50 102.39
536 32.88 67.87 36.73 0.88 127.70
537 32.97 11.49 61.50 4.30 104.11
538 32.88 48.48 80.45 0.31 214.65
539 33.06 41.95 102.00 0.03 210.67
540 32.96 54.62 50.98 0.00 202.95
541 33.07 70.24 37.86 1.00 109.13
542 33.03 62.49 30.71 0.44 157.58
543 33.07 19.76 99.68 0.74 158.52
544 33.14 39.72 125.20 0.00 208.36
545 33.22 82.09 48.64 4.55 35.35
546 33.19 56.97 41.50 0.79 192.09
