#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk2 14A 4 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.008417 -0.008417 0.892336 0.892336 -16.083183 0.0
Kr  -0.002236 -0.007018 0.159919 0.752833 -2.250873 -8.81E-4
gt  -0.001463 -0.004656 0.139679 0.4719 -0.737551 4.01E-4
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
324 24.98 62.20 68.62 4.57 173.38
325 25.07 12.54 12.63 0.71 97.82
326 25.23 77.87 60.18 2.03 112.91
327 25.11 37.78 9.48 0.45 157.45
328 25.04 53.05 40.85 2.08 196.20
329 25.08 17.23 7.44 0.00 114.39
330 25.15 72.45 72.69 2.53 138.12
331 25.22 35.21 7.85 0.00 154.91
332 25.30 40.21 11.01 0.18 165.77
333 25.27 45.00 17.12 0.00 183.83
334 25.36 24.11 7.69 0.00 132.51
335 25.31 59.45 78.64 5.21 177.33
336 25.34 69.49 75.41 3.81 156.34
337 25.53 21.27 11.66 0.00 124.75
338 25.46 56.93 67.68 3.35 175.27
339 25.50 50.70 44.84 2.07 185.15
340 25.66 42.77 21.27 0.00 180.15
341 25.65 64.68 93.43 4.40 174.24
342 25.69 82.28 52.25 2.86 87.06
343 25.73 28.65 14.07 0.00 152.50
344 25.76 47.06 33.59 0.83 188.14
345 25.74 74.86 73.82 3.36 131.21
346 25.91 33.10 14.37 0.00 157.16
347 26.07 54.95 88.59 2.65 195.17
348 26.09 15.33 21.11 0.00 108.87
349 26.13 30.66 14.89 0.33 160.04
350 26.07 67.13 96.44 6.69 172.41
351 26.04 18.71 20.60 0.00 131.57
352 26.07 52.66 65.70 1.36 192.88
353 26.15 26.12 15.74 0.00 155.58
354 26.12 62.02 118.55 5.51 195.04
355 26.21 38.45 19.43 0.50 176.06
356 26.29 79.66 57.87 3.75 112.92
357 26.34 48.89 62.95 1.72 190.99
358 26.30 36.21 21.75 0.00 170.02
359 26.30 71.16 97.01 4.68 161.92
360 26.40 44.98 43.44 0.00 190.99
361 26.35 59.62 119.57 4.32 191.48
362 26.50 40.84 28.91 0.00 180.01
363 26.61 23.54 25.91 0.00 148.17
364 26.64 57.24 119.35 2.60 193.09
365 26.71 76.56 71.34 4.25 131.86
366 26.86 50.83 97.74 1.97 208.69
367 26.82 63.96 129.78 4.97 193.89
368 26.96 73.55 87.52 4.68 145.84
369 26.80 84.17 35.97 2.79 64.90
370 26.94 20.98 29.81 0.00 133.20
371 26.95 68.69 100.85 4.74 174.61
372 26.98 34.46 30.87 0.00 184.87
373 27.02 43.04 61.77 1.19 194.15
374 26.94 28.11 27.43 0.00 168.11
375 27.08 47.13 90.65 2.00 202.73
376 27.13 12.18 48.18 1.31 110.33
377 27.11 31.81 32.24 0.00 178.32
378 27.18 18.04 39.41 0.00 130.58
379 27.14 53.13 116.30 2.35 201.06
380 27.31 65.91 116.70 5.74 182.11
381 27.36 61.61 136.76 5.15 204.57
382 27.44 80.75 53.64 5.30 112.15
383 27.41 55.29 132.82 4.68 206.95
384 27.45 25.59 43.07 0.00 161.49
385 27.33 38.74 47.26 0.00 203.76
386 27.51 15.44 53.57 0.06 131.33
387 27.48 59.19 143.30 5.51 203.26
388 27.64 36.62 52.78 0.10 194.25
389 27.56 45.22 95.25 1.04 208.01
390 27.73 70.74 95.31 6.41 164.28
391 27.73 29.51 50.67 0.44 181.30
392 27.72 40.90 64.48 0.05 204.43
393 27.80 49.02 132.31 1.67 207.73
394 27.81 77.47 64.99 5.74 128.82
395 27.94 23.29 55.43 0.00 154.17
396 27.99 33.54 71.02 0.00 198.49
397 28.02 57.26 142.76 5.14 221.58
398 28.18 86.02 27.09 3.19 51.46
399 28.04 51.46 137.77 1.24 205.35
400 28.18 83.11 41.66 3.89 81.25
401 28.11 63.55 130.54 7.04 201.64
402 28.15 67.97 111.82 5.63 175.86
403 28.16 20.43 55.26 0.00 151.18
404 28.21 73.07 87.36 5.44 154.00
405 28.38 27.23 71.39 0.00 176.74
406 28.27 42.89 99.77 2.10 209.01
407 28.40 31.44 78.78 0.00 185.25
408 28.25 53.71 133.17 3.41 210.83
409 28.36 13.42 76.78 0.28 122.56
410 28.49 47.09 126.91 1.58 205.49
411 28.54 17.27 74.95 0.13 139.23
412 28.48 60.32 135.36 6.91 203.22
413 28.70 75.32 65.34 6.68 132.98
414 28.51 38.85 85.69 1.20 208.95
415 28.61 35.44 91.12 0.60 197.75
416 28.75 65.63 117.15 7.40 191.96
417 28.68 44.93 123.64 3.37 215.52
418 28.91 80.66 45.55 6.25 95.43
419 28.96 55.66 124.07 4.86 210.27
420 29.05 25.26 96.21 0.69 185.21
421 29.03 29.17 89.35 0.00 184.56
422 28.88 50.05 136.62 1.90 222.82
423 29.00 41.16 107.93 0.93 214.95
424 29.10 77.99 47.60 6.55 114.08
425 29.12 62.45 116.03 7.09 194.54
426 29.13 70.67 84.50 6.80 157.02
427 29.14 22.75 88.77 0.22 161.99
428 29.14 58.12 128.71 5.82 201.49
429 29.31 33.51 109.02 0.50 190.23
430 29.27 53.36 120.46 3.95 221.81
431 29.27 19.92 77.99 0.00 150.22
