AP,gt,kni,kr,hb,time
71,54.055757575757575,103.67151515151515,27.804333333333332,5.822,2
72,62.76705882352941,92.92382352941176,26.094,5.7044,2
73,67.78617647058823,81.86117647058823,25.3372,5.54,2
74,78.04885714285714,74.794,24.267586206896553,5.48,2
75,84.69272727272727,66.33060606060606,23.146538461538462,5.319615384615385,2
76,87.7658064516129,58.96322580645161,21.592758620689654,5.076206896551724,2
77,96.281,55.61633333333333,20.407307692307693,5.065384615384615,2
78,95.924,50.534666666666666,20.655454545454546,5.218636363636364,2
79,92.77259259259259,45.696666666666665,19.76,4.986,2
80,94.2864,43.9548,18.6,5.090344827586207,2
81,87.93185185185185,40.122962962962966,18.881363636363638,5.198181818181818,2
82,83.44666666666667,38.20166666666667,18.170416666666668,5.707083333333333,2
83,82.80583333333334,38.20458333333333,16.88222222222222,6.176111111111111,2
84,69.8308,35.3696,16.83222222222222,6.794814814814814,2
85,64.6056,34.4568,17.27941176470588,7.320588235294117,2
86,62.34571428571429,35.06857142857143,16.10904761904762,8.857142857142858,2
87,52.8204,32.9428,14.288181818181819,9.906363636363636,2
88,46.54625,32.475,15.318636363636363,12.645909090909091,2
89,40.40565217391304,31.987826086956524,14.122272727272728,13.025454545454545,2
90,37.53941176470588,32.78941176470588,14.227142857142857,14.035,2
91,32.548235294117646,32.73235294117647,13.68375,13.459375,2
92,25.23217391304348,30.58608695652174,12.925,12.82875,2
93,23.117,30.026,12.873076923076923,11.83,2
94,20.10142857142857,27.70357142857143,10.89,11.136363636363637,2
95,18.145,26.88,10.614444444444445,9.533333333333333,2
96,15.355384615384615,26.04153846153846,10.044285714285714,9.092857142857143,2
97,13.62875,24.5575,9.75,7.996,2
98,11.095555555555556,20.883333333333333,8.375,6.824999999999999,2
4,8.721666666666668,60.30833333333334,6.3,92.24666666666667,3
5,9.5625,54.527499999999996,6.05,96.90666666666667,3
6,11.062222222222223,56.66222222222222,6.6875,104.105,3
7,11.773333333333333,53.94444444444444,7.03,106.16714285714286,3
