#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
412 28.97 83.90 88.37 31.73 53.50
413 28.86 47.80 97.44 56.15 78.75
414 28.94 58.48 96.06 52.23 92.02
415 28.96 41.94 91.84 53.59 101.74
416 29.34 13.92 64.69 40.58 71.83
417 29.19 54.15 93.65 50.25 82.78
418 29.55 24.64 63.46 40.29 68.21
419 29.47 39.44 94.13 57.50 92.48
420 29.49 76.03 112.64 48.29 68.69
421 29.47 32.93 89.41 56.91 99.58
422 29.38 67.24 109.44 55.87 90.48
423 29.47 11.69 65.04 33.97 75.15
424 29.46 28.56 88.25 50.13 84.61
425 29.46 61.09 105.69 54.75 80.49
426 29.55 30.78 99.20 55.21 91.81
427 29.43 36.01 103.10 51.21 86.62
428 29.56 64.41 107.09 52.52 79.26
429 29.60 81.84 105.54 38.14 58.21
430 29.94 21.34 85.36 45.33 72.07
431 29.56 45.49 93.79 55.50 91.31
432 29.67 49.01 97.18 57.92 94.62
433 29.79 56.84 98.91 53.70 79.87
434 29.89 86.80 66.72 27.13 49.41
435 29.89 69.43 112.19 49.94 77.44
436 29.94 51.35 98.40 53.40 79.26
437 29.84 79.76 125.95 46.67 69.01
438 29.99 43.22 99.97 55.74 87.84
439 29.94 71.68 116.94 49.60 70.05
440 29.97 17.45 76.86 41.14 69.14
441 30.23 73.97 127.79 55.90 75.28
442 30.27 26.80 101.93 51.51 81.86
443 30.28 59.27 113.76 54.14 84.18
444 30.24 84.21 95.85 36.71 50.44
445 30.33 35.28 123.05 54.55 76.88
446 30.34 53.84 112.89 60.38 85.51
447 30.41 62.52 109.43 53.43 76.15
448 30.52 38.16 109.62 60.83 88.83
449 30.46 47.56 102.08 56.21 80.45
450 30.56 77.92 125.53 50.94 64.37
451 30.40 10.03 54.23 26.68 51.51
452 30.58 41.14 105.74 59.70 87.41
453 30.48 67.24 132.09 56.14 87.30
454 30.66 15.68 88.28 41.51 66.00
455 30.67 32.02 109.10 53.31 86.39
456 30.78 65.01 115.80 54.72 78.57
457 30.72 29.06 103.79 49.04 74.77
458 30.92 12.41 76.70 36.59 55.09
459 30.95 55.86 115.56 60.08 85.01
460 31.07 88.04 51.42 20.52 31.89
461 31.10 25.12 108.16 51.52 69.84
462 31.03 45.68 124.01 58.96 71.61
463 31.12 75.51 125.97 51.45 60.70
464 31.08 80.81 118.48 44.68 54.58
465 31.21 82.92 112.04 40.90 54.75
466 31.11 69.69 116.49 54.69 68.01
467 31.24 43.47 128.01 58.26 66.72
468 31.14 51.93 102.20 52.53 72.92
469 31.22 60.79 105.52 57.23 69.44
470 31.23 19.28 107.42 48.87 67.94
471 31.34 72.49 122.65 53.58 68.85
472 31.41 49.35 113.94 59.50 75.94
473 31.44 58.17 116.88 58.15 75.84
474 31.36 85.44 90.50 37.14 48.43
475 31.37 36.28 121.23 59.52 89.60
476 31.54 33.79 118.68 60.01 85.22
477 31.54 39.72 124.20 60.37 81.67
478 31.65 63.39 123.67 62.60 80.54
479 31.79 26.72 118.27 56.25 73.27
