#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn4 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
301 26.93 73.85 49.65 16.33 154.18
302 26.95 38.18 25.56 22.38 196.90
303 26.99 51.54 30.40 21.67 204.06
304 26.92 30.90 22.64 19.72 188.55
305 27.01 55.57 33.55 22.73 209.87
306 26.96 28.13 22.87 19.09 192.35
307 27.20 57.93 35.81 22.12 194.88
308 27.15 18.49 22.57 15.18 173.50
309 27.15 64.19 43.58 20.48 183.67
310 27.12 76.32 53.35 15.81 153.08
311 27.17 49.05 28.57 24.16 223.03
312 27.37 83.35 57.07 12.07 90.44
313 27.47 16.07 21.83 12.88 141.37
314 27.46 80.40 70.01 14.47 136.23
315 27.43 33.46 25.97 21.02 202.86
316 27.37 60.24 43.69 21.67 198.65
317 27.54 40.16 29.16 22.07 215.45
318 27.63 69.62 62.21 19.74 178.78
319 27.69 21.06 23.10 15.02 162.27
320 27.83 66.20 69.38 19.72 183.82
321 27.77 42.61 28.74 22.45 211.08
322 27.81 45.00 33.41 24.03 219.80
323 27.93 62.11 53.93 21.34 186.45
324 27.94 77.86 91.80 16.03 139.66
325 27.87 36.11 27.81 22.41 205.88
326 27.88 53.14 35.05 23.22 201.15
327 28.03 47.14 34.28 22.75 208.82
328 28.01 71.97 78.13 18.93 157.51
329 28.17 26.72 25.07 19.19 180.40
330 28.21 23.91 25.36 17.93 178.83
331 28.15 29.42 25.59 20.64 197.69
332 28.11 56.23 44.61 23.47 198.98
333 28.31 74.89 75.73 16.83 149.65
334 28.34 13.48 20.38 11.31 98.69
335 28.41 31.83 27.19 19.42 203.94
336 28.25 49.73 37.15 24.48 195.44
337 28.46 38.37 29.37 22.67 208.74
338 28.53 18.63 27.21 14.28 149.20
339 28.58 64.21 107.10 22.62 188.91
340 28.59 82.40 72.00 13.68 107.00
341 28.51 59.35 70.71 22.85 205.93
342 28.69 67.86 125.46 21.22 188.27
343 28.78 34.28 29.89 21.54 199.67
344 28.75 41.14 33.47 22.78 204.35
345 28.80 86.33 44.40 11.16 64.57
346 28.89 15.61 27.00 13.36 146.06
347 28.90 79.70 93.10 16.11 140.25
348 28.90 51.83 49.47 23.12 213.09
349 28.96 54.70 59.29 24.24 209.74
350 28.96 21.42 31.54 16.75 169.58
351 29.00 44.69 37.72 23.40 205.77
352 29.24 69.95 152.36 20.08 165.22
353 29.12 57.43 77.86 24.23 208.75
354 29.23 47.32 42.03 22.53 207.98
355 29.39 72.34 128.58 19.67 164.16
356 29.27 61.32 120.13 24.07 200.24
357 29.31 25.57 32.50 19.02 188.67
358 29.34 36.61 31.05 22.36 208.45
359 29.38 77.22 101.76 16.53 148.11
360 29.41 28.80 32.35 19.71 194.05
361 29.43 49.52 49.29 23.37 208.58
362 29.61 65.75 178.78 22.02 176.24
363 29.60 74.41 119.90 19.75 156.98
364 29.61 39.11 39.47 23.25 193.89
365 29.83 84.65 70.43 13.86 97.47
366 29.61 12.70 37.70 10.92 86.09
367 29.61 42.58 41.00 23.89 210.89
368 29.77 17.69 42.49 15.26 156.11
369 29.69 31.60 34.81 20.34 197.46
370 29.86 63.44 190.45 24.55 195.13
371 29.80 81.85 81.80 15.25 117.66
372 29.91 22.93 46.10 16.99 180.13
373 29.88 53.28 104.26 23.18 215.54
374 30.09 33.98 39.14 22.72 201.88
375 30.12 58.87 150.99 23.96 195.67
376 30.17 20.45 47.82 16.90 150.75
377 30.20 68.05 188.04 21.61 172.70
378 30.11 56.26 147.85 24.64 212.58
379 30.15 45.98 61.90 24.30 219.29
380 30.25 50.81 104.43 25.10 205.68
381 30.29 15.00 58.22 13.22 146.13
382 30.35 79.69 112.60 19.15 134.69
383 30.35 40.95 51.23 23.20 216.01
384 30.44 36.35 47.11 21.85 213.70
385 30.53 43.91 72.79 24.70 215.50
386 30.51 25.08 55.81 18.75 187.38
387 30.57 27.59 49.63 20.66 184.63
388 30.59 70.69 153.84 21.84 172.10
389 30.59 75.63 131.21 18.96 151.34
390 30.59 48.17 106.93 26.82 210.34
391 30.52 61.39 204.09 25.55 195.22
392 30.79 30.16 55.44 21.68 199.08
393 30.81 38.87 64.61 23.69 217.31
394 31.13 12.46 95.30 11.47 116.63
395 31.01 54.27 207.86 25.95 210.36
396 30.97 66.29 202.68 23.93 171.00
397 31.06 72.94 149.77 21.30 172.82
398 31.03 18.55 95.31 16.88 157.90
399 31.14 63.94 207.06 25.79 170.64
400 31.13 32.29 66.33 22.12 202.20
401 31.13 85.17 70.52 15.92 111.02
402 31.21 51.87 190.39 26.19 210.49
403 31.28 77.76 121.88 19.19 144.67
404 31.27 23.01 102.41 18.28 169.02
405 31.37 59.26 202.11 26.05 187.33
406 31.32 82.71 83.40 17.98 132.16
407 31.31 56.74 208.65 26.10 202.17
408 31.42 15.83 109.34 14.36 145.76
409 31.35 34.85 76.03 23.11 203.29
410 31.30 42.15 114.79 25.29 212.73
411 31.32 46.01 146.23 24.78 212.38
412 31.40 49.59 176.38 27.18 222.76
413 31.71 20.55 126.66 18.44 170.26
414 31.67 69.20 162.55 22.59 170.36
415 31.70 37.32 114.77 24.29 215.87
416 31.83 80.54 85.19 18.09 140.20
417 31.77 87.63 38.66 14.39 76.57
418 31.70 61.60 217.64 25.60 185.61
419 31.88 25.52 128.87 21.07 175.20
420 31.76 28.20 104.18 22.39 202.12
421 31.86 39.94 149.00 25.26 209.93
422 31.96 75.07 122.84 20.83 151.85
423 32.10 43.99 179.02 25.95 220.20
424 32.11 66.95 192.69 25.43 190.38
425 32.29 71.83 133.64 22.61 167.34
426 32.16 52.98 217.77 28.81 205.76
427 32.35 30.21 146.76 22.11 190.71
428 32.27 33.17 139.88 24.03 209.31
429 32.30 55.32 208.99 27.75 200.98
430 32.36 48.56 209.56 26.33 202.30
431 32.48 13.43 142.32 14.52 138.14
432 32.46 64.83 187.99 26.74 187.29
433 32.39 18.25 162.72 17.80 158.58
434 32.49 57.85 207.08 27.70 200.42
435 32.50 46.23 198.94 25.38 205.69
436 32.50 84.42 69.39 17.46 127.94
437 32.73 10.92 120.08 11.85 88.76
438 32.54 22.74 171.87 19.30 164.63
439 32.54 35.69 159.52 25.41 211.20
440 32.65 41.65 196.72 27.05 200.22
