#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf4 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
465 31.98 29.60 85.17 23.02 179.71
466 31.88 67.05 175.60 25.72 190.29
467 32.10 24.50 90.69 22.08 156.04
468 32.07 27.04 89.36 21.59 164.91
469 32.10 32.82 98.27 24.37 185.90
470 32.08 86.39 88.25 19.28 118.43
471 32.22 40.57 119.50 26.85 195.13
472 32.19 69.29 166.76 25.68 193.47
473 32.28 21.90 94.77 21.04 147.01
474 32.32 89.45 67.47 17.83 92.26
475 32.35 50.94 162.29 26.76 189.40
476 32.31 60.05 189.31 27.83 204.50
477 32.44 53.05 178.59 27.93 197.64
478 32.32 71.48 176.72 28.86 217.96
479 32.46 80.96 105.82 21.48 146.07
480 32.43 37.71 116.55 25.29 190.29
481 32.50 48.71 160.92 26.86 194.24
482 32.48 55.49 174.50 27.70 194.81
483 32.63 35.36 120.99 23.85 180.98
484 32.63 57.68 185.86 28.17 199.14
485 32.56 63.61 180.15 28.45 196.85
486 32.72 44.24 143.58 26.91 190.29
487 32.71 76.68 127.39 24.22 158.81
488 32.84 16.52 100.50 19.00 125.50
489 32.87 46.50 153.04 28.11 183.59
490 32.85 65.63 176.18 27.92 194.83
491 32.85 13.84 101.68 17.92 129.12
492 33.00 19.36 112.59 20.25 135.24
493 32.95 31.02 116.04 24.77 182.45
494 32.92 73.56 133.16 26.95 173.65
495 32.98 61.44 198.60 28.50 201.90
496 33.27 11.53 102.88 16.62 118.50
497 33.20 85.09 86.93 23.55 132.21
498 33.18 26.50 122.97 24.23 174.68
499 33.22 28.79 124.61 22.73 180.18
500 33.18 41.79 155.57 25.81 193.67
501 33.25 67.88 160.98 26.18 191.99
502 33.28 33.37 139.43 24.70 181.64
503 33.29 39.34 144.90 27.51 182.46
504 33.26 83.15 92.91 22.96 142.04
505 33.37 87.72 71.41 19.85 108.16
506 33.44 24.34 123.71 22.05 161.34
507 33.38 70.49 150.34 27.64 180.40
508 33.57 22.08 116.22 22.03 152.78
509 33.43 51.39 175.67 29.63 195.94
510 33.48 78.87 108.80 24.58 150.35
511 33.54 81.70 105.93 24.96 145.90
512 33.63 8.94 97.49 15.37 101.10
513 33.42 54.41 186.65 29.80 200.81
514 33.60 36.98 156.27 26.25 187.68
515 33.60 58.79 188.55 29.45 207.95
516 33.65 48.65 166.33 27.18 187.76
517 33.89 90.25 58.69 19.92 93.06
518 33.71 63.45 176.45 29.05 198.99
519 33.78 75.42 131.43 25.73 161.64
520 33.95 56.50 187.14 29.73 198.86
521 33.78 43.76 159.26 27.21 184.22
522 34.08 46.01 160.58 28.31 183.16
523 34.02 61.08 182.31 29.11 204.72
524 34.04 65.69 160.64 28.46 195.46
525 34.09 72.90 135.64 28.99 182.77
526 34.14 14.73 109.27 19.20 124.03
527 34.17 17.67 113.15 20.26 129.28
528 34.08 31.64 142.54 24.66 176.22
