#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
335 24.79 32.75 37.48 20.37 114.47
336 24.79 50.04 39.90 23.62 121.26
337 24.83 52.72 42.75 23.17 112.99
338 24.82 60.40 45.44 21.74 113.22
339 24.86 47.62 39.61 22.72 127.82
340 24.72 55.86 44.24 22.86 118.88
341 24.81 76.32 100.66 16.09 91.26
342 25.04 73.55 94.25 17.24 98.76
343 25.01 44.70 39.76 22.51 131.10
344 25.25 28.24 39.79 18.02 111.14
345 25.23 23.04 36.09 15.25 107.53
346 25.31 79.12 108.51 14.47 78.50
347 25.43 66.02 76.70 21.04 108.50
348 25.50 63.67 69.69 21.26 109.54
349 25.50 25.56 40.39 15.12 109.84
350 25.56 31.09 43.88 19.24 112.43
351 25.62 35.29 37.78 20.98 118.44
352 25.60 40.58 41.19 21.28 135.15
353 25.72 18.43 35.02 13.32 96.45
354 25.52 13.16 32.37 10.01 72.03
355 25.65 54.43 59.82 23.97 133.01
356 25.78 51.44 51.53 24.09 125.50
357 25.92 56.76 59.90 21.64 128.30
358 25.95 68.74 101.35 19.49 113.50
359 25.97 38.17 45.45 22.68 134.09
360 25.94 71.32 113.69 18.99 110.22
361 25.80 81.90 106.82 13.65 74.10
362 25.92 43.23 44.09 23.86 130.23
363 25.99 46.14 49.76 22.86 137.15
364 25.98 61.14 64.14 22.38 118.59
365 26.03 48.81 53.08 23.92 125.98
366 26.17 58.87 67.49 22.60 123.78
367 26.29 15.76 42.13 13.01 93.81
368 26.27 20.87 42.67 14.30 107.26
369 26.12 76.04 124.36 17.33 96.55
370 26.37 33.63 52.83 21.25 129.85
371 26.47 29.02 58.78 18.28 119.61
372 26.52 23.51 53.01 16.98 123.02
373 26.71 73.42 133.11 17.85 109.82
374 26.58 26.32 58.45 17.43 121.09
375 26.70 53.21 75.46 25.21 128.47
376 26.68 13.10 55.77 11.79 95.02
377 26.61 65.59 98.92 20.83 118.12
378 26.67 63.10 94.74 22.61 119.58
379 26.72 78.87 121.99 15.94 88.50
380 26.66 81.72 106.82 14.25 64.81
381 26.81 31.50 66.49 20.62 123.08
382 26.78 50.89 68.82 23.40 130.63
383 26.96 84.13 96.99 13.78 65.73
384 26.90 40.81 57.44 22.22 130.21
385 26.93 36.03 59.32 21.80 131.18
386 27.05 55.59 90.26 24.38 139.90
387 27.05 47.42 66.95 23.60 129.62
388 27.16 18.69 59.60 14.27 109.78
389 27.03 43.12 61.20 24.77 134.24
390 27.35 45.21 80.81 23.37 130.09
391 27.22 67.75 125.95 21.31 115.38
392 27.34 70.71 125.39 18.72 102.13
393 27.30 38.45 63.94 23.03 134.71
394 27.34 60.55 97.34 22.65 126.36
395 27.35 57.97 96.38 23.27 136.58
396 27.53 76.43 122.57 17.53 94.01
397 27.68 21.95 67.73 15.60 111.81
398 27.65 27.77 87.74 18.76 125.60
399 27.68 49.53 88.97 26.83 140.48
400 27.65 24.82 79.94 16.14 121.64
401 27.85 16.35 78.66 13.26 102.93
402 27.71 33.48 90.31 20.71 136.85
403 27.80 30.16 105.61 20.73 128.56
404 27.85 62.89 123.05 22.75 128.51
405 27.89 65.25 137.20 21.60 120.11
406 27.99 79.46 114.47 15.90 88.02
407 27.90 51.98 93.87 23.49 137.54
408 27.99 13.39 77.08 11.91 91.08
409 28.18 82.16 101.90 14.20 72.56
410 27.98 54.09 109.71 23.29 134.20
411 27.98 73.88 129.95 17.99 100.68
412 28.08 36.15 95.44 23.39 142.11
413 28.15 42.52 96.16 24.72 138.41
414 28.40 10.47 77.94 10.32 75.82
415 28.48 85.11 84.71 14.74 63.89
416 28.28 40.26 95.98 23.72 136.14
417 28.29 46.93 112.88 24.54 133.11
418 28.44 19.85 92.00 14.48 110.00
419 28.37 56.86 131.20 25.46 139.63
420 28.42 69.02 138.08 21.45 113.08
421 28.57 59.21 131.46 23.67 138.13
422 28.70 26.38 116.49 19.56 124.01
423 28.74 31.35 132.45 21.71 136.73
424 28.77 44.33 120.59 23.15 130.45
425 28.61 61.35 133.95 23.45 129.63
426 28.81 66.91 140.40 22.37 120.50
427 28.81 71.64 133.10 19.59 101.92
428 28.80 38.02 118.55 23.77 146.10
429 28.93 23.87 104.79 17.56 114.16
430 28.87 49.32 125.03 24.58 141.84
431 28.92 77.43 116.44 17.49 91.28
432 28.91 33.63 131.42 22.36 136.01
433 29.17 17.76 96.38 14.89 103.98
434 29.05 28.77 116.34 20.89 126.43
