#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Data without background#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
441 29.14 33.83 2.04 0.72 67.28
442 29.63 36.66 2.72 1.44 71.67
443 29.45 54.61 27.88 2.06 86.71
444 29.54 49.82 9.20 2.69 97.69
445 29.31 59.33 184.79 2.21 102.07
446 29.37 78.11 75.95 3.27 78.57
447 29.54 10.60 0.13 0.00 34.86
448 29.34 41.18 2.04 3.35 74.48
449 29.34 47.61 4.20 2.55 80.52
450 29.35 64.33 169.44 4.13 100.57
451 29.50 21.06 0.86 0.00 52.20
452 29.50 43.55 1.19 0.53 76.07
453 29.60 75.56 104.58 5.08 102.25
454 29.62 68.07 129.50 3.93 84.43
455 29.80 13.95 2.39 0.00 45.41
456 29.65 70.65 94.20 4.47 53.32
457 29.74 32.86 2.73 2.70 74.02
458 29.63 38.19 3.40 4.15 76.05
459 29.95 45.97 19.18 4.40 100.22
460 29.87 61.68 186.10 3.51 115.66
461 29.85 16.38 2.47 0.00 51.55
462 29.93 24.02 1.89 0.00 59.33
463 30.00 29.77 0.52 0.00 68.41
464 30.06 56.78 180.86 1.50 95.54
465 30.61 34.95 9.32 1.48 79.45
466 29.87 52.21 17.83 1.39 106.18
467 30.26 81.09 48.48 7.11 111.80
468 30.05 26.71 1.69 2.82 59.35
469 30.20 72.98 92.31 3.65 102.77
470 30.15 18.83 5.15 0.00 67.57
471 30.30 39.79 14.09 0.91 81.46
472 30.28 65.85 148.60 4.66 143.72
473 30.55 42.20 40.03 4.07 95.87
474 30.40 77.26 48.47 1.77 86.33
475 30.41 59.16 203.74 6.66 143.47
476 30.51 83.17 18.26 5.56 79.26
477 30.56 32.40 7.66 1.34 79.91
478 30.68 63.54 144.35 4.61 132.80
479 30.61 21.88 11.80 0.00 75.45
480 30.89 44.01 57.21 2.95 109.69
481 30.61 11.64 7.17 0.00 43.71
482 30.82 70.51 53.18 5.58 121.61
483 30.79 52.76 195.37 5.74 151.25
484 30.93 68.06 57.08 4.43 137.43
485 30.79 14.71 14.88 0.00 58.73
486 30.84 17.37 13.50 0.54 67.03
487 30.81 12.97 11.65 0.00 57.90
488 31.06 24.40 12.28 0.87 79.40
489 30.98 54.93 184.29 3.29 147.77
490 31.19 48.80 205.93 4.04 141.03
491 31.16 75.37 42.55 3.86 110.70
492 30.95 27.80 16.29 1.18 81.64
493 30.98 37.86 20.60 1.61 88.90
494 31.08 61.37 113.26 5.75 177.23
495 31.45 85.34 9.27 7.32 94.11
496 31.31 56.95 194.26 5.24 139.92
497 31.54 72.67 31.73 4.07 136.56
498 31.59 19.68 113.23 0.73 79.59
499 31.41 78.00 21.68 3.22 100.18
500 31.64 26.02 116.71 2.39 98.72
501 31.52 32.39 62.55 3.86 99.13
502 31.59 59.12 120.42 4.90 187.31
503 31.58 50.96 196.16 8.97 180.49
504 31.62 65.51 54.56 4.51 177.42
505 31.88 10.82 90.94 1.67 73.82
506 31.70 22.16 118.78 1.32 81.38
507 32.31 36.72 179.84 5.26 151.11
508 31.88 16.08 126.43 1.36 88.38
509 31.85 13.16 101.88 0.93 79.15
510 31.97 42.07 183.96 2.68 131.55
511 31.98 46.20 185.38 5.87 169.26
512 32.02 53.05 146.28 5.08 206.25
513 32.07 63.32 54.98 7.26 185.50
514 32.17 28.05 151.83 4.25 107.00
515 32.10 38.98 177.65 6.17 158.47
516 32.13 34.42 186.89 1.88 127.20
517 32.02 69.96 19.59 6.64 98.30
518 32.10 81.58 9.88 5.59 93.77
519 32.17 55.30 107.64 6.03 183.83
520 32.32 67.78 28.18 7.19 140.27
521 32.44 76.72 10.35 5.16 110.64
522 32.33 30.65 180.66 2.24 102.23
523 32.38 60.98 74.14 5.07 182.64
524 32.48 23.86 137.91 2.75 117.89
525 32.37 49.24 159.37 9.58 220.71
526 32.64 74.51 9.00 4.38 110.69
527 32.49 83.63 5.26 4.83 71.39
528 32.61 58.04 69.60 3.97 163.78
529 32.77 85.91 0.05 7.95 57.50
530 32.67 21.12 135.89 5.56 127.67
531 32.86 78.98 4.35 5.48 98.12
532 32.85 44.39 176.22 8.83 210.62
533 32.83 71.55 15.12 5.32 117.91
534 33.01 87.58 1.26 10.38 64.97
535 32.88 32.27 169.66 1.97 147.10
536 32.99 17.97 128.15 3.35 139.44
537 32.77 19.38 141.79 2.18 134.91
538 32.92 40.37 161.41 3.29 188.84
539 32.95 65.55 20.64 4.98 142.83
540 32.87 51.37 77.19 5.56 183.28
541 32.98 26.14 156.63 4.42 140.39
542 33.19 9.17 67.25 0.99 71.90
543 33.42 89.25 0.00 9.60 45.68
544 33.15 12.42 88.25 1.23 124.39
545 33.12 15.04 94.26 2.46 128.92
546 33.16 47.17 125.61 5.57 222.19
547 33.26 53.54 58.57 6.71 188.80
548 33.15 56.09 55.97 6.00 202.30
549 33.21 16.61 91.81 3.52 129.07
550 33.41 82.02 0.85 6.22 63.92
551 33.24 42.54 99.87 3.53 190.00
552 33.33 62.81 36.92 7.34 163.95
553 33.42 68.62 10.25 3.56 79.33
554 33.38 34.24 154.89 6.09 165.01
555 33.40 29.40 157.52 5.68 140.49
556 33.50 59.83 31.40 6.02 175.95
557 33.57 38.33 112.58 4.92 194.42
558 33.59 49.51 76.11 4.50 189.20
559 33.65 22.33 100.21 3.11 172.49
560 33.80 76.61 0.00 4.73 66.57
561 33.92 74.04 2.08 5.96 84.52
562 34.09 31.87 58.29 4.85 175.23
563 34.01 24.62 76.20 5.02 175.15
564 34.04 57.76 24.76 5.16 168.78
565 33.95 71.20 7.82 7.20 103.68
566 34.04 51.47 50.42 7.95 194.22
567 34.06 19.34 94.37 5.71 161.71
568 34.08 65.37 25.52 8.59 126.50
569 34.21 85.14 0.17 8.72 44.70
570 34.11 26.94 82.27 4.14 163.97
571 34.15 36.25 69.46 6.62 204.30
572 34.02 40.69 59.93 3.91 179.37
573 34.30 43.05 50.92 4.52 183.29
574 34.17 55.29 25.88 5.02 182.84
575 34.23 79.35 0.00 5.74 56.24
576 34.26 10.98 53.07 2.90 126.85
577 34.31 14.55 65.13 1.43 138.04
578 34.33 47.55 34.13 6.65 189.82
579 34.40 61.23 17.92 7.17 149.04
580 34.44 67.27 4.14 7.12 98.22
581 34.61 53.20 24.70 6.52 185.70
582 34.63 63.47 12.87 8.71 140.61
583 34.59 34.12 92.90 8.03 197.49
584 34.77 45.17 33.77 5.88 183.07
585 34.80 69.52 1.02 6.98 101.66
586 34.82 88.65 2.25 11.76 29.07
