#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
297 24.43 59.60 29.33 77.31 160.23
298 24.52 49.30 29.50 32.05 196.53
299 24.51 72.10 29.36 74.33 108.69
300 24.54 77.17 29.31 59.39 99.62
301 24.67 29.07 20.41 18.79 163.23
302 24.73 44.59 26.83 26.59 196.38
303 24.76 24.47 21.20 19.34 168.35
304 24.75 34.37 23.77 22.42 184.04
305 24.77 62.37 31.47 83.30 124.33
306 24.74 69.33 32.85 78.20 118.94
307 24.81 42.03 23.91 24.34 186.74
308 25.11 81.13 31.34 43.93 87.61
309 25.00 53.11 30.38 45.59 174.42
310 25.08 17.06 18.80 17.07 127.86
311 25.04 22.09 18.89 20.41 152.98
312 25.05 66.96 37.32 88.71 131.24
313 25.07 46.91 27.96 29.87 188.49
314 25.36 83.94 35.38 35.97 90.70
315 25.26 19.79 19.46 18.89 146.13
316 25.28 31.35 23.81 22.15 179.89
317 25.31 87.14 30.61 29.41 70.67
318 25.30 57.56 33.22 64.26 152.45
319 25.38 50.45 30.51 43.06 177.04
320 25.43 14.39 16.91 15.06 119.08
321 25.43 74.64 35.89 59.34 110.34
322 25.51 78.51 35.32 53.89 102.95
323 25.50 36.36 24.38 23.65 189.53
324 25.45 64.56 38.32 79.72 142.18
325 25.44 39.98 26.40 25.92 181.32
326 25.42 60.13 34.47 81.73 156.36
327 25.57 55.23 33.56 61.71 179.92
328 25.65 71.74 38.80 63.48 113.89
329 25.80 25.97 20.68 21.09 164.59
330 25.93 28.87 21.81 22.88 165.84
331 25.88 33.39 23.88 25.32 167.86
332 25.83 43.01 26.89 30.49 179.09
333 26.07 48.00 30.64 39.98 187.84
334 25.95 68.95 43.18 69.49 118.67
335 26.00 61.90 40.00 69.49 145.83
336 26.11 45.40 29.08 35.39 190.44
337 26.17 23.54 20.75 20.68 151.30
338 26.16 38.37 26.33 27.71 191.13
339 26.18 51.73 34.79 58.01 181.89
340 26.22 66.38 57.46 74.75 124.48
341 26.40 18.60 22.36 21.32 137.91
342 26.30 58.74 41.39 68.95 144.92
343 26.51 53.76 38.40 60.07 180.40
344 26.49 76.33 53.55 47.92 113.02
345 26.51 88.09 46.17 17.68 58.55
346 26.55 41.39 28.33 32.15 185.61
347 26.61 79.59 53.01 35.20 96.45
348 26.54 12.92 22.47 22.58 109.91
349 26.66 16.33 25.11 22.04 125.93
350 26.60 21.30 24.10 22.49 146.24
351 26.59 31.21 23.25 25.49 174.75
352 26.59 35.40 24.54 25.86 190.21
353 26.61 63.56 71.38 69.54 145.05
354 26.66 73.36 58.91 46.72 121.08
355 26.63 85.48 63.87 21.58 89.27
356 26.69 56.08 43.71 61.09 169.32
357 26.75 82.40 58.20 26.48 96.37
358 26.79 14.30 23.46 21.35 117.47
359 26.79 70.63 73.09 54.57 119.17
360 26.74 49.61 39.74 60.05 182.15
361 26.87 27.29 24.52 24.40 168.35
362 27.07 43.76 33.14 44.60 193.89
363 27.07 60.75 68.90 57.96 153.87
364 27.18 67.64 137.35 41.41 127.54
365 27.24 33.28 24.53 28.39 170.20
366 27.15 39.60 28.37 33.29 169.27
367 27.24 46.30 35.57 64.34 182.08
368 27.32 37.38 29.89 36.67 177.94
369 27.36 24.84 28.12 28.39 162.13
370 27.34 64.93 131.47 38.30 140.39
371 27.28 58.08 64.37 57.33 159.26
372 27.52 29.58 25.91 30.41 169.33
373 27.42 51.41 43.25 55.21 169.21
374 27.68 74.94 101.48 29.37 99.22
375 27.63 18.89 30.58 28.06 136.18
376 27.64 48.60 39.55 65.80 171.60
377 27.66 53.94 59.67 56.45 185.60
378 27.79 77.78 99.38 24.72 98.89
379 27.71 87.19 51.56 15.81 79.33
380 27.72 22.44 30.65 29.11 142.88
381 27.79 41.57 36.97 54.76 188.59
382 27.90 84.34 69.92 17.48 93.62
383 27.78 12.36 40.02 21.98 114.34
384 27.94 62.08 171.66 35.75 136.17
385 27.99 72.16 122.22 28.78 111.86
386 27.83 35.31 31.03 42.89 188.71
387 27.82 69.56 152.68 30.25 131.20
388 27.98 15.48 36.74 24.62 125.32
389 27.94 56.29 85.26 48.20 158.62
390 28.16 80.62 88.95 18.78 89.19
391 28.12 31.65 32.90 37.59 183.43
392 28.04 27.19 29.87 33.57 172.06
393 28.07 59.32 132.23 43.86 136.68
394 28.23 38.89 36.59 54.56 187.00
395 28.24 43.78 41.86 59.30 176.93
396 28.44 67.05 195.44 28.27 118.66
397 28.41 46.73 48.02 66.62 178.74
398 28.50 64.28 202.55 28.87 124.91
399 28.65 21.01 48.48 26.09 147.30
