#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf6 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
362 24.79 69.91 39.35 85.55 66.19
363 24.83 42.57 24.53 31.25 141.98
364 24.77 62.23 34.02 87.23 75.74
365 24.93 72.75 44.12 66.92 71.55
366 25.05 26.76 20.60 25.62 118.20
367 25.06 75.33 48.35 61.81 77.88
368 25.28 13.00 11.76 16.48 71.60
369 25.03 40.14 23.13 31.82 144.71
370 25.02 78.55 41.69 57.75 74.20
371 25.09 37.81 24.60 32.21 148.29
372 24.83 84.05 19.97 51.06 31.77
373 25.12 55.88 30.30 69.62 111.49
374 25.28 58.45 33.45 81.28 93.84
375 25.32 64.24 42.84 80.11 85.46
376 25.42 48.90 28.90 51.73 120.67
377 25.49 29.43 21.04 28.86 120.87
378 25.58 46.03 27.41 41.58 144.11
379 25.58 53.46 32.49 68.52 119.56
380 25.51 60.69 39.55 80.43 93.90
381 25.60 17.76 17.04 22.50 103.97
382 25.56 67.95 52.97 82.30 79.92
383 25.64 31.86 22.61 29.60 129.01
384 25.63 34.27 24.80 31.39 137.80
385 25.71 24.62 21.84 26.83 112.56
386 25.69 83.17 46.17 37.25 67.33
387 25.78 71.01 64.12 68.51 84.80
388 25.85 44.00 28.57 39.88 142.57
389 25.79 50.92 30.51 68.78 123.84
390 25.89 79.72 76.31 43.35 91.51
391 25.94 20.45 18.46 25.41 104.78
392 25.99 66.10 71.64 72.22 99.07
393 25.75 85.60 36.98 32.24 52.90
394 26.15 36.53 25.57 34.18 133.65
395 26.06 41.53 28.21 38.28 142.32
396 26.12 15.60 16.45 22.82 95.02
397 26.11 73.65 100.23 46.39 99.14
398 26.03 76.78 76.77 45.06 91.59
399 26.07 62.70 65.43 69.39 112.65
400 26.14 39.03 26.39 38.48 145.24
401 26.12 56.07 35.67 70.10 114.47
402 26.33 27.05 21.41 30.39 112.23
403 26.50 22.77 19.40 26.92 110.77
404 26.44 47.73 30.09 61.89 136.06
405 26.44 58.48 46.36 71.87 112.44
406 26.45 85.09 60.50 25.55 64.79
407 26.70 13.42 16.77 20.57 89.82
408 26.69 29.68 23.40 32.23 121.12
409 26.70 52.09 34.57 72.15 121.65
410 26.81 54.17 39.38 85.55 126.91
411 26.71 60.90 75.47 69.61 117.82
412 26.68 64.28 123.49 65.60 111.24
413 26.82 45.69 32.39 60.95 140.59
414 26.90 67.46 151.03 49.33 103.36
415 26.92 69.53 163.12 44.43 108.01
416 26.89 81.02 90.29 28.31 100.10
417 26.86 18.53 21.45 29.16 101.48
418 26.85 32.10 25.53 38.54 130.87
419 26.83 34.50 25.48 45.70 132.69
420 26.93 49.82 34.43 77.52 128.27
421 26.96 43.18 29.05 51.61 129.01
422 27.17 77.98 122.30 30.66 116.31
423 27.14 25.14 24.02 32.83 122.88
424 27.16 71.87 183.68 37.56 114.25
425 27.30 83.20 77.91 23.76 93.66
426 27.23 75.12 153.22 33.98 113.13
427 27.20 38.49 29.16 43.74 141.92
428 27.24 40.55 25.94 51.48 137.01
429 27.30 56.15 58.04 74.08 143.09
430 27.39 21.04 22.08 29.20 109.22
431 27.40 86.62 52.16 19.26 71.99
432 27.50 16.31 21.10 28.46 95.95
433 27.62 11.76 20.29 24.29 89.12
434 27.57 36.59 29.84 52.50 137.43
435 27.59 65.36 204.33 42.89 124.35
436 27.51 27.58 24.11 37.65 115.57
437 27.63 62.76 188.65 45.39 131.10
438 27.49 58.76 94.79 62.59 139.08
439 27.66 48.24 38.35 70.03 145.24
440 27.90 30.25 25.59 48.23 130.15
441 27.70 51.98 41.25 76.73 136.91
442 28.01 14.26 27.02 27.28 107.12
443 27.96 23.44 26.75 38.43 115.21
444 27.96 44.44 32.32 69.90 129.20
445 27.99 46.48 37.60 76.08 144.14
446 28.07 32.48 30.60 50.81 125.40
447 27.99 60.54 188.23 40.90 133.65
448 27.99 42.19 32.05 60.09 145.49
449 28.09 54.02 67.78 69.46 156.46
450 28.12 34.66 30.07 53.67 127.74
451 28.15 73.26 184.10 30.57 121.08
452 28.11 79.65 109.08 24.14 118.34
